Time,Source_cell_ID,Destination_ID,MS_ID
1s,1,12,1
2s,1,12,2
3s,1,12,3
4s,1,12,4
5s,1,12,5
6s,1,12,6
7s,1,12,7
8s,2,12,8
9s,2,12,9
10s,2,12,10
11s,2,12,11
20s,4,19,20
21s,4,19,21
22s,4,12,22
23s,4,19,23
24s,4,12,24
25s,4,19,25
26s,5,12,26
27s,5,12,27
28s,5,12,28
29s,5,12,29
30s,5,12,30
31s,5,19,31
32s,5,12,32
33s,6,3,33
34s,6,3,34
35s,6,12,35
36s,6,3,36
37s,6,3,37
38s,6,3,38
39s,6,12,39
40s,6,3,40
41s,7,3,41
42s,7,3,42
43s,7,2,43
44s,7,3,44
45s,7,3,45
46s,7,3,46
47s,7,3,47
48s,8,19,48
49s,8,19,49
50s,8,19,50
51s,8,19,51
52s,8,19,52
53s,8,19,53
54s,9,19,54
55s,9,19,55
56s,9,19,56
57s,10,19,57
58s,10,19,58
59s,10,19,59
60s,10,12,60
61s,10,19,61
62s,10,19,62
63s,11,3,63
64s,11,2,64
65s,11,6,65
66s,11,5,66
67s,11,2,67
68s,11,3,68
69s,11,1,69
70s,11,2,70
71s,12,2,71
72s,12,1,72
73s,12,1,73
74s,13,17,74
75s,13,17,75
76s,13,17,76
77s,14,19,77
78s,14,17,78
79s,14,17,79
80s,14,17,80
81s,14,18,81
82s,14,19,82
83s,15,4,83
84s,15,17,84
85s,15,17,85
86s,16,1,86
87s,16,1,87
92s,18,13,92
93s,18,17,93
94s,18,13,94
95s,18,13,95
96s,18,13,96
97s,19,13,97
98s,19,4,98
99s,19,4,99
100s,19,8,100
