Time,Source_cell_ID,Destination_ID
,,
1s,1,12
2s,1,12
3s,1,12
4s,1,12
5s,1,12
6s,2,12
7s,2,12
8s,2,12
9s,2,12
10s,3,12
11s,3,12
12s,3,12
13s,3,12
14s,4,19
15s,4,19
16s,4,19
17s,4,19
18s,4,19
19s,5,12
20s,5,12
21s,5,12
22s,5,12
23s,6,12
24s,6,3
25s,6,12
26s,6,12
27s,7,3
28s,7,3
29s,7,3
30s,7,3
31s,7,3
32s,7,3
33s,7,3
34s,7,3
35s,7,3
36s,8,19
37s,8,19
38s,8,19
39s,8,19
40s,8,19
41s,9,19
42s,9,19
43s,10,12
44s,10,12
45s,10,19
46s,10,19
47s,10,19
48s,10,19
49s,11,3
50s,11,3
51s,11,12
52s,12,2
53s,12,1
54s,12,2
55s,12,1
56s,12,1
57s,12,2
58s,12,1
59s,13,19
60s,13,19
61s,13,19
62s,13,19
63s,14,19
64s,14,19
65s,14,17
66s,14,17
67s,14,19
68s,14,17
69s,14,19
70s,14,19
71s,14,19
72s,15,19
73s,15,17
74s,15,17
75s,15,17
76s,15,19
77s,15,18
78s,15,17
79s,16,4
80s,16,5
81s,16,4
82s,16,5
83s,16,1
84s,16,2
85s,16,4
86s,18,13
87s,18,17
88s,18,17
89s,18,17
90s,18,17
91s,18,17
92s,18,13
93s,19,8
94s,19,8
95s,19,8
96s,19,4
